,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,-5.78,77,0,14.97,US,1649961022
1,ushuaia,-54.8,-68.3,53.22,54,20,13.8,AR,1649960870
2,tasiilaq,65.6145,-37.6368,32.16,100,100,2.84,GL,1649961085
3,busselton,-33.65,115.3333,57.6,84,0,8.08,AU,1649961100
4,pevek,69.7008,170.3133,6.26,92,100,0.4,RU,1649961100
5,lebu,-37.6167,-73.65,58.57,69,1,8.39,CL,1649961101
6,goderich,43.7501,-81.7165,48.52,43,6,14.97,CA,1649961101
7,sao filipe,14.8961,-24.4956,72.36,73,0,11.61,CV,1649961101
8,san ramon,37.7799,-121.978,57.56,83,100,10.36,US,1649960906
9,hobart,-42.8794,147.3294,60.22,72,75,9.22,AU,1649960998
10,husavik,66.0449,-17.3389,41.16,90,100,12.24,IS,1649961102
11,tianpeng,30.9866,103.9393,57.67,95,100,13.31,CN,1649961102
12,ilam,26.9167,87.9167,69.17,37,0,5.48,NP,1649961103
13,ust-kut,56.7938,105.7672,33.53,84,100,11.16,RU,1649961103
14,kirakira,-10.4544,161.9205,79.66,84,36,6.64,SB,1649961104
15,gravdal,68.1214,13.5031,37.27,64,14,4.63,NO,1649961104
16,lucea,18.451,-78.1736,85.86,72,15,12.57,JM,1649961104
17,siniscola,40.5719,9.6922,58.55,73,100,1.66,IT,1649961105
18,coxim,-18.5067,-54.76,81.93,73,77,8.39,BR,1649960926
19,mar del plata,-38.0023,-57.5575,62.62,71,0,12.66,AR,1649961105
20,khatanga,71.9667,102.5,-22.5,100,60,2.8,RU,1649961106
21,atuona,-9.8,-139.0333,78.98,77,27,15.93,PF,1649961106
22,mataura,-46.1927,168.8643,42.42,98,10,2.35,NZ,1649961107
23,saint-georges,12.0564,-61.7485,85.68,70,20,23.02,GD,1649961107
24,bredasdorp,-34.5322,20.0403,58.48,67,100,6.73,ZA,1649961107
25,punta arenas,-53.15,-70.9167,57.31,54,40,25.32,CL,1649961014
26,lagoa,39.05,-27.9833,60.39,77,9,15.26,PT,1649961108
27,qaanaaq,77.484,-69.3632,-3.17,90,97,4.45,GL,1649961108
28,tiksi,71.6872,128.8694,-1.35,100,100,7.65,RU,1649961109
29,kurilsk,45.2333,147.8833,31.01,81,100,7.25,RU,1649961109
30,geraldton,-28.7667,114.6,66.61,72,0,8.05,AU,1649961110
31,muros,42.7762,-9.0603,63.68,78,7,10.09,ES,1649961110
32,hermanus,-34.4187,19.2345,60.39,71,100,6.53,ZA,1649960934
33,mantua,45.1667,10.7833,69.04,64,9,6.49,IT,1649961110
34,rikitea,-23.1203,-134.9692,77.85,69,7,18.81,PF,1649961111
35,port alfred,-33.5906,26.891,65.17,90,99,4.0,ZA,1649961017
36,catuday,16.2923,119.8062,79.74,72,98,10.63,PH,1649961111
37,talnakh,69.4865,88.3972,25.21,92,100,9.55,RU,1649961112
38,kaitangata,-46.2817,169.8464,46.47,94,18,5.77,NZ,1649961112
39,dunedin,-45.8742,170.5036,54.81,73,0,3.0,NZ,1649961014
40,alofi,-19.0595,-169.9187,71.49,94,7,1.14,NU,1649961113
41,ust-ishim,57.6935,71.1665,41.95,92,32,3.44,RU,1649961113
42,ahipara,-35.1667,173.1667,55.04,82,9,3.83,NZ,1649961114
43,loukhi,66.0764,33.0381,29.21,97,100,6.29,RU,1649961114
44,bluff,-46.6,168.3333,51.96,85,28,12.41,NZ,1649961019
45,santa isabel,-23.3156,-46.2214,78.51,93,85,6.87,BR,1649961115
46,comodoro rivadavia,-45.8667,-67.5,75.06,38,0,16.11,AR,1649961115
47,ilulissat,69.2167,-51.1,15.82,62,75,16.11,GL,1649961116
48,nikolskoye,59.7035,30.7861,37.8,99,100,1.74,RU,1649961116
49,hasaki,35.7333,140.8333,48.6,89,100,22.39,JP,1649961117
50,chuy,-33.6971,-53.4616,65.43,45,1,14.45,UY,1649961117
51,castro,-24.7911,-50.0119,65.77,83,73,10.38,BR,1649961117
52,namibe,-15.1961,12.1522,74.84,84,20,12.93,AO,1649961118
53,kapaa,22.0752,-159.319,76.12,80,40,11.5,US,1649960929
54,nguru,12.8791,10.4526,96.06,16,95,6.51,NG,1649961118
55,faanui,-16.4833,-151.75,82.08,72,96,19.66,PF,1649961119
56,abu dhabi,24.4667,54.3667,87.91,62,0,5.75,AE,1649961002
57,taltal,-25.4,-70.4833,63.91,75,33,5.82,CL,1649961119
58,skibbereen,51.55,-9.2667,53.11,98,100,15.35,IE,1649961119
59,faya,18.3851,42.4509,68.11,39,3,2.53,SA,1649961120
60,sawankhalok,17.316,99.8319,85.32,52,5,5.46,TH,1649961120
61,mindelo,16.8901,-24.9804,74.75,57,20,20.71,CV,1649961120
62,santa marinella,42.0345,11.8536,62.33,75,100,5.08,IT,1649961121
63,kavieng,-2.5744,150.7967,82.17,78,23,12.84,PG,1649961121
64,bonthe,7.5264,-12.505,81.05,74,100,9.17,SL,1649961122
65,gilgit,35.9221,74.3087,62.29,49,22,3.85,PK,1649961122
66,bambous virieux,-20.3428,57.7575,79.21,73,40,16.11,MU,1649961122
67,new norfolk,-42.7826,147.0587,59.88,61,100,1.01,AU,1649961008
68,kashan,33.9831,51.4364,78.64,18,100,4.54,IR,1649961123
69,kruisfontein,-34.0033,24.7314,61.57,90,99,7.81,ZA,1649961123
70,oranjestad,12.524,-70.027,78.78,84,0,25.26,AW,1649961124
71,nasirabad,26.3,74.7333,83.35,16,57,6.24,IN,1649961124
72,igrim,63.1906,64.4162,36.79,89,100,10.49,RU,1649961125
73,san quintin,30.4833,-115.95,65.68,54,92,18.25,MX,1649961125
74,te anau,-45.4167,167.7167,44.65,92,59,0.65,NZ,1649960940
75,hambantota,6.1241,81.1185,79.14,100,20,3.44,LK,1649961126
76,middelburg,-25.7751,29.4648,61.29,54,0,4.76,ZA,1649961126
77,tual,-5.6667,132.75,83.34,74,100,4.56,ID,1649961127
78,bengkulu,-3.8004,102.2655,76.1,89,64,4.27,ID,1649961090
79,tuktoyaktuk,69.4541,-133.0374,-5.8,77,40,9.22,CA,1649961127
80,victoria,22.2855,114.1577,77.38,81,38,10.0,HK,1649961128
81,urucui,-7.2294,-44.5561,91.67,46,14,4.25,BR,1649961128
82,georgetown,5.4112,100.3354,82.35,89,40,8.05,MY,1649960386
83,thompson,55.7435,-97.8558,8.76,56,100,20.71,CA,1649961011
84,albany,42.6001,-73.9662,79.21,44,98,7.18,US,1649960458
85,hutchinson,38.0608,-97.9298,59.04,33,0,12.66,US,1649961103
86,puerto escondido,15.85,-97.0667,86.83,70,0,5.75,MX,1649961129
87,ascension,30.2169,-90.9001,81.07,57,0,8.05,US,1649961130
88,nanortalik,60.1432,-45.2371,34.12,87,62,3.85,GL,1649961130
89,puerto ayora,-0.7393,-90.3518,82.36,80,55,10.25,EC,1649961131
90,mezen,65.8522,44.24,23.52,95,54,5.64,RU,1649960939
91,lana,46.6124,11.1559,71.02,71,42,2.26,IT,1649961131
92,waipawa,-41.4122,175.5153,41.47,76,7,2.24,NZ,1649961132
93,ribeira grande,38.5167,-28.7,63.0,82,40,21.85,PT,1649961132
94,sabha,27.0377,14.4283,91.74,10,100,10.2,LY,1649961133
95,esperance,-33.8667,121.9,60.64,67,100,2.98,AU,1649961133
96,ancud,-41.8697,-73.8203,69.22,73,0,1.48,CL,1649961134
97,vaitape,-16.5167,-151.75,82.09,72,95,19.64,PF,1649961134
98,avarua,-21.2078,-159.775,78.85,94,67,1.14,CK,1649961135
99,templin,53.1186,13.5022,56.14,98,97,5.39,DE,1649961135
100,coihaique,-45.5752,-72.0662,70.41,52,0,3.44,CL,1649961098
101,thinadhoo,0.5333,72.9333,83.84,68,100,6.82,MV,1649961136
102,high level,58.5169,-117.136,21.31,42,20,3.44,CA,1649961009
103,aklavik,68.2191,-135.0107,1.4,66,20,5.75,CA,1649961136
104,pinsk,52.1229,26.0951,49.69,62,100,6.38,BY,1649961137
105,hilo,19.7297,-155.09,78.28,81,75,5.75,US,1649961137
106,rancho palos verdes,33.7445,-118.387,72.09,68,0,5.99,US,1649961138
107,oriximina,-1.7656,-55.8661,83.43,81,89,3.98,BR,1649960871
108,nebug,44.1714,39.0036,43.34,92,100,17.6,RU,1649961138
109,chase,50.8165,-119.6857,46.08,36,62,4.65,CA,1649961019
110,hornepayne,49.2138,-84.7705,35.85,75,36,15.48,CA,1649961139
111,vardo,70.3705,31.1107,32.09,83,69,8.66,NO,1649961139
112,butaritari,3.0707,172.7902,81.23,77,99,14.18,KI,1649961140
113,lodja,-3.4833,23.4333,71.65,99,93,2.44,CD,1649961140
114,cidreira,-30.1811,-50.2056,67.57,52,34,15.93,BR,1649961141
115,jingdezhen,29.2947,117.2079,56.77,88,78,5.55,CN,1649961141
116,east london,-33.0153,27.9116,67.14,88,20,10.36,ZA,1649961141
117,uribia,11.7139,-72.266,93.99,40,5,18.43,CO,1649961142
118,gigmoto,13.7796,124.39,76.95,85,21,3.56,PH,1649961142
119,moranbah,-22.0016,148.0466,63.19,93,0,9.84,AU,1649961143
120,arraial do cabo,-22.9661,-42.0278,80.56,74,40,12.66,BR,1649961143
121,jamestown,42.097,-79.2353,52.52,30,40,16.11,US,1649960967
122,panama city,8.9936,-79.5197,90.18,76,40,6.91,PA,1649960860
123,cape town,-33.9258,18.4232,62.35,70,40,12.66,ZA,1649961144
124,sortland,68.6949,15.4162,33.76,73,26,1.28,NO,1649961144
125,mount isa,-20.7333,139.5,65.97,52,43,0.0,AU,1649961065
126,jilib,0.4883,42.7854,80.83,83,40,7.9,SO,1649961145
127,kinsale,51.7075,-8.5306,52.97,93,75,16.11,IE,1649961145
128,masuda,34.6667,131.85,54.25,94,100,13.78,JP,1649961146
129,artyom,40.4723,50.333,55.54,74,98,13.67,AZ,1649961147
130,axim,4.8699,-2.2405,81.41,84,100,10.83,GH,1649961147
131,iquitos,-3.7481,-73.2472,75.24,94,100,10.36,PE,1649961148
132,vila,42.0304,-8.1588,58.69,67,0,2.71,PT,1649961148
133,batagay-alyta,67.8006,130.4114,1.99,97,100,4.83,RU,1649961148
134,konskie,51.1917,20.4061,56.19,68,86,6.6,PL,1649961149
135,woodstock,43.1334,-80.7497,55.42,41,50,11.99,CA,1649960641
136,kansanshi,-12.0951,26.4273,62.78,93,100,3.91,ZM,1649961149
137,vila franca do campo,37.7167,-25.4333,63.01,80,100,10.54,PT,1649961150
138,yumen,40.2833,97.2,44.55,12,6,4.52,CN,1649961150
139,san andres,12.5847,-81.7006,86.02,66,20,16.11,CO,1649961150
140,tuatapere,-46.1333,167.6833,46.27,90,1,4.12,NZ,1649961151
141,enna,37.5588,14.2892,52.88,77,100,14.7,IT,1649961151
142,chokurdakh,70.6333,147.9167,-2.51,96,100,6.85,RU,1649961152
143,shimoda,34.6667,138.95,51.1,91,100,14.32,JP,1649961152
144,batanovci,42.5997,22.9506,52.09,49,0,1.34,BG,1649961152
145,longyearbyen,78.2186,15.6401,22.84,63,75,5.75,SJ,1649961153
146,pangody,65.85,74.4859,34.14,99,100,11.83,RU,1649961153
147,bradford,53.7939,-1.7521,60.24,53,20,6.91,GB,1649960965
148,arinos,-15.9169,-46.1056,88.14,43,93,4.68,BR,1649961154
149,henties bay,-22.116,14.2845,61.27,85,0,6.6,NA,1649961154
150,chapleau,47.8405,-83.4034,33.89,80,75,20.71,CA,1649961155
151,ponta do sol,32.6667,-17.1,68.72,79,6,2.06,PT,1649961155
152,champasak,14.75,106.0,74.19,85,68,2.42,LA,1649961156
153,dabhoi,22.1833,73.4333,83.95,39,0,10.02,IN,1649961156
154,vrangel,42.7297,133.0839,38.52,63,100,5.39,RU,1649961157
155,fernley,39.608,-119.2518,55.74,27,88,5.99,US,1649960914
156,yerbogachen,61.2767,108.0108,26.67,88,25,11.61,RU,1649961157
157,cherskiy,68.75,161.3,13.39,94,100,4.63,RU,1649961158
158,mayna,54.1135,47.6231,39.24,97,100,11.74,RU,1649961158
159,scarborough,54.2797,-0.4044,57.33,86,100,4.0,GB,1649961159
160,kodiak,57.79,-152.4072,38.71,65,0,0.0,US,1649961159
161,hovd,48.0056,91.6419,27.5,28,100,6.89,MN,1649961159
162,meghri,38.9029,46.2446,49.89,71,74,1.74,AM,1649961160
163,klaksvik,62.2266,-6.589,43.72,87,100,26.84,FO,1649961160
164,tessalit,20.1986,1.0114,89.78,8,0,10.47,ML,1649961161
165,airai,-8.9266,125.4092,60.66,89,100,2.04,TL,1649961161
166,cobija,-11.0267,-68.7692,87.98,70,75,3.44,BO,1649961162
167,bolgatanga,10.7856,-0.8514,98.08,26,96,5.88,GH,1649961162
168,port elizabeth,-33.918,25.5701,63.32,99,75,14.97,ZA,1649961162
169,necochea,-38.5473,-58.7368,64.56,41,0,2.46,AR,1649960895
170,makakilo city,21.3469,-158.0858,77.32,65,0,10.36,US,1649961163
171,salalah,17.0151,54.0924,82.49,83,40,5.75,OM,1649961163
172,jirkov,50.4998,13.4477,60.17,85,100,5.01,CZ,1649961164
173,ponta delgada,37.7333,-25.6667,63.32,82,40,13.8,PT,1649961164
174,gorontalo,0.5412,123.0595,75.13,93,97,2.73,ID,1649961164
175,baoqing,46.3317,132.2111,32.38,46,6,1.59,CN,1649961165
176,imbituba,-28.24,-48.6703,65.95,70,100,15.97,BR,1649961165
177,male,4.1748,73.5089,84.15,79,40,8.05,MV,1649961050
178,upernavik,72.7868,-56.1549,-5.46,92,73,11.05,GL,1649961166
179,guerrero negro,27.9769,-114.0611,68.7,49,39,13.8,MX,1649960916
180,ostrovnoy,68.0531,39.5131,17.2,93,100,5.64,RU,1649961166
181,lysva,58.1086,57.8053,40.96,99,100,3.31,RU,1649961166
182,semey,50.4111,80.2275,50.23,31,0,15.88,KZ,1649961167
183,westport,41.1415,-73.3579,85.62,50,91,9.57,US,1649961167
184,trairi,-3.2778,-39.2689,82.4,77,28,7.29,BR,1649961167
185,wairoa,-39.0333,177.3667,45.55,98,8,5.01,NZ,1649961168
186,eenhana,-17.4667,16.3333,71.6,56,6,4.52,NA,1649961169
187,aasiaat,68.7098,-52.8699,8.76,85,97,5.7,GL,1649961169
188,kudligi,14.9,76.3833,80.2,66,100,11.83,IN,1649961169
189,viedma,-40.8135,-62.9967,71.85,28,0,13.85,AR,1649961170
190,pacific grove,36.6177,-121.9166,60.91,76,75,5.75,US,1649961170
191,rolla,37.9514,-91.7713,61.05,30,0,16.11,US,1649961170
192,omsukchan,62.5333,155.8,9.32,96,100,4.68,RU,1649961171
193,lagoa vermelha,-28.2086,-51.5258,60.96,63,0,9.82,BR,1649961011
194,raga,8.4596,25.678,85.98,23,13,5.26,SS,1649961171
195,saldanha,-33.0117,17.9442,59.05,74,0,18.52,ZA,1649961172
196,lompoc,34.6391,-120.4579,68.85,49,0,21.0,US,1649961172
197,saint anthony,45.0205,-93.218,36.72,73,100,27.63,US,1649961172
198,padang,-0.9492,100.3543,78.17,86,100,1.74,ID,1649961173
199,sabya,17.1495,42.6254,87.42,48,8,2.35,SA,1649961173
200,beringovskiy,63.05,179.3167,30.6,97,100,12.1,RU,1649961173
201,almeirim,-1.5233,-52.5817,85.75,67,96,4.47,BR,1649961174
202,villazon,-22.0866,-65.5942,60.93,19,0,10.71,BO,1649961174
203,pierre,44.3683,-100.351,34.86,41,75,37.98,US,1649961175
204,saskylakh,71.9167,114.0833,-19.52,100,100,5.1,RU,1649961020
205,iralaya,15.0,-83.2333,82.51,73,42,12.1,HN,1649961175
206,tarakan,3.3,117.6333,78.3,94,40,0.0,ID,1649961176
207,srednekolymsk,67.45,153.6833,8.08,96,100,8.01,RU,1649961176
208,isangel,-19.55,169.2667,79.32,81,91,6.38,VU,1649961176
209,batagay,67.6333,134.6333,-3.08,97,72,3.22,RU,1649961177
210,aromashevo,56.8602,68.6375,51.46,81,87,8.01,RU,1649961177
211,banon,40.8382,-1.1909,58.26,41,0,10.36,ES,1649961177
212,jalu,29.0331,21.5482,77.67,15,5,19.84,LY,1649961178
213,mezhova,48.2532,36.7347,47.5,88,100,8.86,UA,1649961178
214,nadym,65.5333,72.5167,34.41,100,100,11.3,RU,1649961178
215,sheltozero,61.3667,35.3667,35.01,94,100,2.77,RU,1649961179
216,santa rosa,14.3122,121.1114,82.38,82,89,2.39,PH,1649961070
217,coquimbo,-29.9533,-71.3436,62.02,74,74,5.1,CL,1649961113
218,raudeberg,61.9875,5.1352,48.87,76,0,6.96,NO,1649961179
219,banepa,27.6298,85.5214,66.52,42,20,5.75,NP,1649961180
220,oistins,13.0667,-59.5333,86.09,66,75,23.02,BB,1649961180
221,macas,-2.3167,-78.1167,78.55,73,75,3.44,EC,1649961011
222,polunochnoye,60.8697,60.4153,35.64,96,100,3.44,RU,1649961181
223,nizwa,22.9333,57.5333,84.56,25,7,4.45,OM,1649961155
224,oytal,42.9057,73.2697,57.83,60,0,3.91,KZ,1649961182
225,kieta,-6.2167,155.6333,78.03,82,97,2.06,PG,1649961182
226,nanakuli,21.3906,-158.1547,78.75,64,0,9.22,US,1649961183
227,mahebourg,-20.4081,57.7,79.25,73,40,16.11,MU,1649961183
228,saint-philippe,-21.3585,55.7679,78.39,89,59,15.21,RE,1649961183
229,kashi,39.4547,75.9797,65.41,17,0,8.95,CN,1649961184
230,yuncheng,35.0231,110.9928,54.03,56,100,5.14,CN,1649961184
231,luanda,-8.8368,13.2343,78.15,87,100,9.37,AO,1649961082
232,laguna,38.421,-121.4238,56.05,88,100,11.5,US,1649961185
233,yamada,39.4667,141.95,40.86,97,100,6.91,JP,1649961185
234,aykhal,66.0,111.5,13.17,94,99,18.86,RU,1649961186
235,novikovo,51.1537,37.8879,44.49,78,100,9.66,RU,1649961187
236,vaini,-21.2,-175.2,77.16,100,75,6.91,TO,1649961188
237,mgachi,51.05,142.2667,28.15,96,70,4.63,RU,1649961188
238,broome,42.2506,-75.833,58.91,76,100,16.11,US,1649961189
239,andenes,69.3143,16.1194,37.38,81,100,12.66,NO,1649961189
240,narsaq,60.9167,-46.05,48.42,86,35,5.55,GL,1649961190
241,fairbanks,64.8378,-147.7164,36.82,61,0,0.0,US,1649960941
242,wasilla,61.5814,-149.4394,41.52,51,0,4.61,US,1649961190
243,saint george,37.1041,-113.5841,64.8,10,0,4.0,US,1649961182
244,lakes entrance,-37.8811,147.981,55.56,80,94,6.2,AU,1649961191
245,kindu,-2.95,25.95,71.92,97,100,2.17,CD,1649961191
246,marawi,7.9986,124.2928,67.77,94,32,3.58,PH,1649961192
247,riwaka,-41.0833,173.0,55.0,91,99,3.91,NZ,1649961192
248,flinders,-34.5833,150.8552,60.39,87,30,1.99,AU,1649961193
249,hay river,60.8156,-115.7999,26.58,26,0,0.0,CA,1649961193
250,qinzhou,21.95,108.6167,74.62,82,0,7.85,CN,1649961194
251,san carlos de bariloche,-41.1456,-71.3082,67.75,18,0,10.36,AR,1649960922
252,katsuura,35.1333,140.3,51.82,91,100,18.34,JP,1649961194
253,kudahuvadhoo,2.6708,72.8944,84.33,73,100,7.81,MV,1649961195
254,espanola,35.9911,-106.0806,60.01,9,1,1.99,US,1649961195
255,suzhou,31.3114,120.6181,52.23,88,100,7.16,CN,1649960929
256,carnarvon,-24.8667,113.6333,69.87,73,0,8.05,AU,1649961011
257,saint-pierre,-21.3393,55.4781,78.48,82,100,19.57,RE,1649961197
258,kurchum,48.5722,83.6542,43.43,23,0,18.3,KZ,1649961197
259,college,64.8569,-147.8028,36.81,60,20,0.0,US,1649960939
260,clyde river,70.4692,-68.5914,5.23,72,75,2.3,CA,1649961198
261,lavrentiya,65.5833,-171.0,32.29,98,100,7.36,RU,1649961199
262,vanavara,60.34,102.2797,34.12,94,100,9.8,RU,1649961199
263,monrovia,6.3005,-10.7969,80.85,83,24,8.14,LR,1649961200
264,safaga,26.7292,33.9365,75.52,32,0,16.37,EG,1649961200
265,chicama,-7.8447,-79.1469,64.94,61,25,12.37,PE,1649961201
266,morondava,-20.2833,44.2833,80.19,77,59,11.03,MG,1649961201
267,owando,-0.4819,15.8999,71.19,97,100,3.51,CG,1649961201
268,tomaszow mazowiecki,51.5313,20.0086,61.02,56,100,7.05,PL,1649961202
269,ashcroft,50.7165,-121.2859,43.48,38,92,5.44,CA,1649961203
270,tolaga bay,-38.3667,178.3,49.93,87,0,4.36,NZ,1649961203
271,mehamn,71.0357,27.8492,34.25,84,100,23.09,NO,1649961203
272,sorong,-0.8833,131.25,78.08,90,100,4.47,ID,1649961204
273,san patricio,28.017,-97.5169,84.29,58,98,18.79,US,1649961204
274,luderitz,-26.6481,15.1594,62.73,77,5,21.34,NA,1649961205
275,biak,-0.9131,122.8766,76.84,83,97,1.7,ID,1649961205
276,provideniya,64.3833,-173.3,30.78,95,100,10.29,RU,1649961159
277,tabuk,17.4189,121.4443,73.44,93,91,4.94,PH,1649961205
278,giehun,7.8833,-11.05,78.89,79,94,5.35,SL,1649961206
279,bozova,37.3625,38.5267,52.72,40,0,1.86,TR,1649961206
280,burnie,-41.0667,145.9167,55.44,91,82,3.47,AU,1649961207
281,marsh harbour,26.5412,-77.0636,77.02,73,9,14.18,BS,1649961207
282,lata,40.1629,-8.3327,57.2,79,0,4.59,PT,1649961081
283,komsomolskiy,40.4272,71.7189,65.12,42,0,4.61,UZ,1649961208
284,kaeo,-35.1,173.7833,47.32,95,3,4.23,NZ,1649961208
285,chateaubelair,13.2833,-61.25,82.92,65,75,13.8,VC,1649961208
