,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,byron bay,-28.65,153.6167,69.69,84,50,12.21,AU,1649961209
287,torbay,47.6666,-52.7314,40.28,73,75,21.99,CA,1649961209
288,ufimskiy,56.7084,58.0517,50.83,90,100,4.41,RU,1649961210
289,sahuaripa,29.05,-109.2333,86.76,9,48,4.45,MX,1649961210
290,sorland,67.667,12.6934,38.8,66,18,6.11,NO,1649961211
291,umm lajj,25.0213,37.2685,74.93,53,0,8.28,SA,1649961211
292,gamba,-2.65,10.0,77.43,88,100,3.83,GA,1649961211
293,bardiyah,31.7561,25.0865,60.82,74,100,16.6,LY,1649961212
294,shelburne,44.0787,-80.2041,51.91,44,0,19.98,CA,1649961212
295,valladolid,41.5833,-4.6667,67.28,54,76,2.59,ES,1649961212
296,general roca,-39.0333,-67.5833,74.98,20,0,18.1,AR,1649961213
297,cascais,38.6979,-9.4215,67.86,70,20,17.27,PT,1649961213
298,kyzyl-suu,42.3414,78.0056,44.73,80,94,2.06,KG,1649961214
299,sungaipenuh,-2.0833,101.3833,65.8,97,100,1.21,ID,1649961214
300,masvingo,-20.0637,30.8277,66.49,85,100,1.66,ZW,1649961113
301,palmas bellas,9.2319,-80.0867,87.26,78,80,8.93,PA,1649961215
302,kilindoni,-7.9139,39.6668,81.25,80,95,7.43,TZ,1649961215
303,kungurtug,50.5994,97.5228,12.11,90,35,2.66,RU,1649961215
304,east wenatchee bench,47.4257,-120.2812,39.18,88,100,11.5,US,1649961216
305,riyadh,24.6877,46.7219,89.74,23,94,12.75,SA,1649961009
306,okha,53.5739,142.9478,17.01,91,59,6.24,RU,1649961216
307,vao,-22.6667,167.4833,77.45,82,65,14.38,NC,1649961217
308,eydhafushi,5.1033,73.0708,84.65,74,100,9.46,MV,1649961217
309,shubarkuduk,49.1447,56.4872,49.75,68,5,12.55,KZ,1649961217
310,mahibadhoo,3.7833,72.9667,85.05,72,100,8.93,MV,1649961218
311,lugazi,0.3772,32.9197,70.59,75,100,4.54,UG,1649961218
312,kiama,-34.6833,150.8667,60.58,89,22,5.77,AU,1649961219
313,hithadhoo,-0.6,73.0833,83.77,72,100,9.91,MV,1649961219
314,turukhansk,65.8167,87.9833,33.67,91,100,11.83,RU,1649961219
315,pangoa,-12.1167,-73.0,80.49,76,72,3.47,PE,1649961220
316,mati,6.9551,126.2166,76.44,83,100,3.31,PH,1649961220
317,cabo san lucas,22.8909,-109.9124,83.61,52,20,9.22,MX,1649961190
318,marovoay,-16.1,46.6333,78.69,70,18,5.59,MG,1649961221
319,grand gaube,-20.0064,57.6608,79.38,77,3,8.99,MU,1649961221
320,harper,4.375,-7.7169,80.82,83,92,10.76,LR,1649961221
321,kavaratti,10.5669,72.642,82.26,75,27,5.06,IN,1649961222
322,pula,44.8683,13.8481,54.16,76,0,5.75,HR,1649961222
323,surgut,61.25,73.4167,42.98,65,0,4.47,RU,1649961222
324,maine-soroa,13.2114,12.0241,93.11,11,100,8.34,NE,1649961223
325,beidao,34.5686,105.8933,42.71,94,100,3.49,CN,1649961223
326,fort nelson,58.8053,-122.7002,22.59,42,0,2.3,CA,1649961019
327,lander,42.833,-108.7307,33.98,57,20,6.91,US,1649961174
328,zaysan,47.4667,84.8667,42.22,28,0,3.31,KZ,1649961224
329,iqaluit,63.7506,-68.5145,-0.31,64,20,20.0,CA,1649961224
330,port moresby,-9.4431,147.1797,74.62,100,20,9.22,PG,1649961225
331,kutum,14.2,24.6667,79.02,7,30,11.97,SD,1649961225
332,vallenar,-28.5708,-70.7581,76.3,29,0,9.08,CL,1649961226
333,san policarpo,12.1791,125.5072,76.48,90,100,4.7,PH,1649961226
334,praia da vitoria,38.7333,-27.0667,66.45,68,20,21.18,PT,1649961226
335,fort smith,35.3859,-94.3986,64.35,32,0,3.44,US,1649961227
336,aswan,24.0934,32.907,81.05,9,0,11.81,EG,1649961227
337,nuuk,64.1835,-51.7216,27.21,59,20,12.66,GL,1649961227
338,shenjiamen,29.9576,122.298,55.85,90,100,18.68,CN,1649961228
339,abay,49.6311,72.8539,39.58,44,0,8.08,KZ,1649961228
340,roma,43.2128,-75.4557,59.14,87,100,24.0,US,1649961229
341,haimen,23.1935,116.6142,71.49,78,100,22.5,CN,1649961229
342,port hedland,-20.3167,118.5667,78.85,61,46,3.44,AU,1649961230
343,neiafu,-18.65,-173.9833,72.28,94,20,0.0,TO,1649961230
344,zheleznogorsk,52.331,35.3711,41.41,72,5,6.89,RU,1649961230
345,balancan,17.8,-91.5333,94.3,45,14,8.88,MX,1649961231
346,yellowknife,62.456,-114.3525,20.28,60,40,8.05,CA,1649961182
347,wenzhou,27.9994,120.6668,62.58,75,49,5.23,CN,1649961132
348,nantucket,41.2835,-70.0995,60.94,83,0,16.11,US,1649961232
349,chipinge,-20.1883,32.6236,66.76,86,91,3.29,ZW,1649961232
350,ndola,-12.9587,28.6366,63.52,95,96,4.72,ZM,1649961233
351,haines junction,60.7522,-137.5108,22.95,42,16,2.3,CA,1649961233
352,shingu,33.7333,135.9833,62.76,96,100,9.4,JP,1649961233
353,zhigansk,66.7697,123.3711,26.6,93,100,8.93,RU,1649961234
354,arman,59.7,150.1667,19.02,79,100,4.56,RU,1649961234
355,cockburn town,21.4612,-71.1419,80.56,69,40,20.71,TC,1649961234
356,felipe carrillo puerto,19.5833,-88.05,94.69,38,29,9.51,MX,1649961235
357,deer lake,49.1667,-57.4316,46.26,49,75,9.22,CA,1649961235
358,bukama,-9.2,25.85,72.0,92,100,2.42,CD,1649961235
359,nyrob,60.733,56.7202,33.73,92,100,5.23,RU,1649961236
360,candido mendes,-1.4467,-45.7167,79.5,87,99,4.38,BR,1649961236
361,stuttgart,48.7823,9.177,65.8,68,0,13.8,DE,1649961000
362,bathsheba,13.2167,-59.5167,86.61,66,75,23.02,BB,1649961237
363,rio gallegos,-51.6226,-69.2181,62.65,48,40,4.61,AR,1649961237
364,talas,38.6908,35.5538,45.27,57,40,5.75,TR,1649961237
365,vila velha,-20.3297,-40.2925,82.35,77,75,11.5,BR,1649961238
366,hualmay,-11.0964,-77.6139,72.75,69,64,12.39,PE,1649961238
367,tecoanapa,16.5167,-98.75,85.73,57,39,10.74,MX,1649961239
368,kununurra,-15.7667,128.7333,76.98,83,40,3.44,AU,1649961239
369,fiumicino,41.7675,12.2291,65.34,53,100,6.31,IT,1649961240
370,myitkyina,25.3833,97.4,70.21,81,100,3.91,MM,1649961240
371,espinosa,-14.9261,-42.8192,85.86,50,95,1.12,BR,1649961187
372,gopalganj,26.4667,84.4333,86.2,11,59,7.7,IN,1649961240
373,solnechnyy,50.7214,136.6319,22.68,72,0,6.78,RU,1649961241
374,naze,28.3667,129.4833,68.92,91,10,7.29,JP,1649961241
375,merauke,-8.4667,140.3333,78.33,90,100,6.2,ID,1649961242
376,arbagar,51.9438,116.2805,31.53,60,26,11.56,RU,1649961242
377,orkney,-26.9802,26.6727,65.75,37,0,4.34,ZA,1649961242
378,araouane,18.9048,-3.5265,89.73,8,1,9.78,ML,1649961243
379,le vauclin,14.5452,-60.8388,86.05,58,20,20.71,MQ,1649961243
380,gatesville,31.4352,-97.7439,75.15,30,0,5.75,US,1649961244
381,amapa,1.0,-52.0,79.03,95,92,4.7,BR,1649961244
382,aksu,41.1231,80.2644,64.74,31,100,16.55,CN,1649961245
383,bunia,1.5667,30.25,64.6,95,100,6.2,CD,1649961245
384,lagos,6.5833,3.75,84.52,75,6,7.72,NG,1649961080
385,cap malheureux,-19.9842,57.6142,79.47,77,1,10.0,MU,1649961246
386,codrington,-38.2667,141.9667,59.05,52,100,5.88,AU,1649961246
387,bergneustadt,51.0333,7.65,58.32,89,99,4.34,DE,1649961247
388,sinnar,13.5691,33.5672,99.12,17,64,1.61,SD,1649961247
389,itarema,-2.9248,-39.9167,82.06,77,81,7.49,BR,1649961247
390,dikson,73.5069,80.5464,15.12,96,100,5.55,RU,1649961248
391,rock sound,24.9,-76.2,76.55,79,5,17.9,BS,1649961248
392,velikiy ustyug,60.7644,46.3106,33.03,86,100,4.45,RU,1649961249
393,kidderminster,52.3882,-2.25,60.03,80,100,2.06,GB,1649961249
394,hofn,64.2539,-15.2082,45.63,98,100,12.86,IS,1649961249
395,ishigaki,24.3448,124.1572,71.73,83,100,11.5,JP,1649961250
396,tutoia,-2.7619,-42.2744,82.89,74,79,8.59,BR,1649961250
397,egvekinot,66.3167,-179.1667,19.74,94,100,9.37,RU,1649961251
398,iguape,-24.7081,-47.5553,69.93,90,100,12.26,BR,1649961251
399,poya,-21.35,165.15,73.31,93,99,2.39,NC,1649961252
400,veraval,20.9,70.3667,80.55,72,0,11.9,IN,1649961252
401,gladstone,-23.85,151.25,65.79,72,0,5.75,AU,1649961252
402,leningradskiy,69.3833,178.4167,6.12,95,99,11.32,RU,1649961253
403,diego de almagro,-26.3667,-70.05,75.7,21,0,14.12,CL,1649961092
404,fortuna,40.5982,-124.1573,49.66,92,75,9.22,US,1649961253
405,grand junction,39.0639,-108.5507,55.31,21,0,5.99,US,1649961254
406,santa cruz,-17.8,-63.1667,74.66,60,75,19.57,BO,1649961234
407,san cristobal,7.7669,-72.225,86.18,42,97,6.04,VE,1649961254
408,alta,69.9689,23.2717,33.06,86,75,6.91,NO,1649961254
409,mahajanga,-15.7167,46.3167,82.42,74,20,3.44,MG,1649961255
410,magaria,12.9983,8.9099,91.94,26,100,10.22,NE,1649961255
411,pentecoste,-3.7928,-39.2703,81.86,84,50,7.07,BR,1649961256
412,dehloran,32.6941,47.2679,79.65,16,8,4.0,IR,1649961256
413,stornoway,58.2093,-6.3865,50.04,93,75,8.05,GB,1649961256
414,george town,5.4112,100.3354,82.35,89,40,8.05,MY,1649961228
415,agucadoura,41.4318,-8.7804,66.31,81,0,14.2,PT,1649961257
416,mae sai,20.4335,99.8762,78.8,38,39,1.83,TH,1649961257
417,souillac,-20.5167,57.5167,79.18,73,40,16.11,MU,1649961258
418,pisco,-13.7,-76.2167,71.65,68,0,14.97,PE,1649961258
419,pangkalanbuun,-2.6833,111.6167,75.0,91,98,1.19,ID,1649961259
420,beloha,-25.1667,45.05,77.23,75,100,7.14,MG,1649961259
421,chippewa falls,44.9369,-91.3929,33.98,64,100,25.32,US,1649961246
422,loningen,52.7333,7.7667,55.42,85,0,7.58,DE,1649961259
423,alyangula,-13.8483,136.4192,75.07,94,78,0.0,AU,1649961260
424,talara,-4.5772,-81.2719,84.96,51,0,18.41,PE,1649961260
425,maldonado,-34.6667,-54.9167,63.79,48,3,13.98,UY,1649961086
426,mathbaria,22.2876,89.9593,80.98,83,10,13.11,BD,1649961261
427,mehkar,20.1508,76.569,89.69,17,100,9.19,IN,1649961261
428,bethel,41.3712,-73.414,84.36,52,0,14.97,US,1649961010
429,baykit,61.67,96.37,34.68,92,100,5.37,RU,1649961261
430,lima,-12.0432,-77.0282,69.39,72,75,5.75,PE,1649961040
431,tebingtinggi,3.3285,99.1625,75.02,97,100,5.66,ID,1649961262
432,rapid valley,44.0625,-103.1463,40.32,31,0,32.21,US,1649961262
433,sinazongwe,-17.2614,27.4618,77.81,66,77,2.37,ZM,1649961263
434,port blair,11.6667,92.75,78.84,89,20,1.14,IN,1649961067
435,qeshm,26.9581,56.2719,93.07,63,4,11.14,IR,1649961263
436,petropavlovsk-kamchatskiy,53.0452,158.6483,28.99,47,40,15.66,RU,1649961263
437,porbandar,21.6422,69.6093,80.62,75,0,11.01,IN,1649961264
438,banda aceh,5.5577,95.3222,81.01,78,68,2.82,ID,1649961264
439,honningsvag,70.9821,25.9704,31.75,100,100,21.85,NO,1649961264
440,santiago del estero,-27.7951,-64.2615,75.13,32,0,7.43,AR,1649961265
441,abdanan,32.9926,47.4198,68.97,20,3,3.94,IR,1649961265
442,tommot,58.9564,126.2925,24.85,97,100,3.0,RU,1649961266
443,tucurui,-3.7661,-49.6725,84.94,75,100,0.76,BR,1649961266
444,stokmarknes,68.5646,14.9108,33.78,75,22,3.44,NO,1649961266
445,bilibino,68.0546,166.4372,18.81,90,100,3.53,RU,1649961267
446,japura,-0.3167,102.35,74.3,99,100,1.14,ID,1649961267
447,illapel,-31.6308,-71.1653,73.35,39,2,7.96,CL,1649961268
448,nebolchi,59.1239,33.3454,36.41,98,100,2.21,RU,1649961268
449,little rock,34.7465,-92.2896,66.97,37,0,3.44,US,1649961094
450,buala,-8.145,159.5921,79.54,82,73,5.97,SB,1649961269
451,ongandjera,-17.8833,15.0667,78.44,47,73,5.97,NA,1649961269
452,verkhnya syrovatka,50.829,34.9586,48.6,70,100,5.14,UA,1649961270
453,brewster,41.3973,-73.6171,84.61,50,0,14.97,US,1649961038
454,carmarthen,51.8555,-4.3054,57.13,72,20,4.61,GB,1649961271
455,chikwawa,-16.0335,34.8009,75.38,89,87,3.27,MW,1649961272
456,manokwari,-0.8667,134.0833,77.38,82,71,2.35,ID,1649961272
457,caravelas,-17.7125,-39.2481,84.43,68,6,9.06,BR,1649961273
458,athabasca,54.7169,-113.2854,21.61,56,100,7.29,CA,1649961273
459,whitehorse,60.7161,-135.0538,31.1,39,0,5.75,CA,1649961274
460,aktash,50.3,87.7333,11.16,65,0,5.17,RU,1649961274
461,baiyin,36.5583,104.2081,42.98,80,100,7.36,CN,1649961275
462,hami,42.8,93.45,51.06,21,6,5.82,CN,1649961276
463,kenai,60.5544,-151.2583,40.03,80,0,0.0,US,1649961276
464,eyemouth,55.8713,-2.0901,55.81,89,100,8.97,GB,1649961276
465,benguela,-12.5763,13.4055,78.12,86,100,3.44,AO,1649961277
466,manikganj,23.8553,90.0125,85.98,85,53,11.18,BD,1649961277
467,celestun,20.8667,-90.4,88.97,56,11,9.95,MX,1649961277
468,belyy yar,53.6039,91.3903,33.85,61,0,4.47,RU,1649961278
469,pokhara,28.2333,83.9833,71.91,28,10,7.83,NP,1649961278
470,muisne,0.6,-80.0333,79.41,79,95,10.6,EC,1649961278
471,cejkovice,48.9059,16.9423,61.07,66,31,5.82,CZ,1649961279
472,kloulklubed,7.0419,134.2556,77.5,77,100,11.27,PW,1649961279
473,yulara,-25.2406,130.9889,75.04,31,6,5.75,AU,1649961279
474,ozuluama,21.6667,-97.85,91.29,45,50,15.19,MX,1649961280
475,sychevka,55.8252,34.2736,40.33,77,100,5.01,RU,1649961280
476,batticaloa,7.7102,81.6924,80.11,85,100,7.07,LK,1649961280
477,riviere-au-renard,48.9957,-64.3971,46.69,82,100,6.78,CA,1649961281
478,acapulco,16.8634,-99.8901,84.02,70,75,10.36,MX,1649961126
479,totma,59.9747,42.7642,30.49,96,100,1.48,RU,1649961281
480,baculin,7.4525,126.5842,76.66,86,100,3.4,PH,1649961282
481,oussouye,12.485,-16.5469,82.58,64,33,14.43,SN,1649961282
482,dong hoi,17.4833,106.6,74.64,96,7,3.6,VN,1649961283
483,mumford,5.2618,-0.759,81.88,81,100,14.18,GH,1649961283
484,ouadda,8.0777,22.4007,80.37,57,100,8.48,CF,1649961283
485,ambatofinandrahana,-20.55,46.8,60.48,94,39,5.14,MG,1649961284
486,kolvereid,64.8655,11.6047,36.84,78,42,4.79,NO,1649961284
487,moose factory,51.2585,-80.6094,35.6,100,100,13.8,CA,1649961284
488,minab,27.1467,57.0801,87.13,33,0,8.14,IR,1649961285
489,tuy hoa,13.0833,109.3,75.9,94,15,2.13,VN,1649961285
490,arroyo,41.6096,-4.7969,67.59,53,20,3.44,ES,1649961285
491,dawlatabad,36.4141,64.9053,73.18,20,0,2.35,AF,1649961286
492,vukovar,45.3433,18.9997,62.37,27,0,2.3,HR,1649961286
493,yertarskiy,56.7902,64.2995,52.86,86,86,7.56,RU,1649961287
494,mount gambier,-37.8333,140.7667,55.31,71,100,0.0,AU,1649961095
495,fonte boa,-2.4959,-66.2662,75.88,97,100,2.24,BR,1649961287
496,buchanan,5.8808,-10.0467,80.83,83,61,7.67,LR,1649961288
497,am timan,11.0297,20.2827,93.96,23,100,5.28,TD,1649961288
498,ngunguru,-35.6167,174.5,55.09,84,11,5.99,NZ,1649961288
499,estevan,49.1334,-102.9842,19.74,79,100,25.32,CA,1649961029
500,teotihuacan,19.6833,-98.8667,78.69,25,30,3.2,MX,1649961289
501,kautokeino,69.0125,23.0412,12.52,91,34,3.15,NO,1649961290
502,bereda,43.2686,-7.5406,53.19,87,0,3.33,ES,1649961290
503,canavieiras,-15.675,-38.9472,87.76,69,6,10.38,BR,1649961290
504,pangai,-19.8,-174.35,77.11,94,75,4.61,TO,1649961291
505,khimki,55.9017,37.4375,44.76,53,0,7.0,RU,1649961291
506,coahuayana,18.7333,-103.6833,88.39,44,100,7.99,MX,1649961291
507,chokwe,-24.5333,32.9833,78.13,80,100,10.36,MZ,1649961292
508,dicabisagan,17.0818,122.4157,76.51,89,42,7.29,PH,1649961292
509,klyuchi,52.2667,79.1667,44.64,47,0,6.4,RU,1649961293
510,sitka,57.0531,-135.33,39.09,41,0,4.61,US,1649961276
511,reconquista,-29.15,-59.65,70.32,39,0,6.15,AR,1649961293
512,sur,22.5667,59.5289,87.03,43,81,10.87,OM,1649961293
513,odweyne,9.4092,45.064,81.59,33,82,7.92,SO,1649961294
514,najran,17.4924,44.1277,83.05,30,69,5.01,SA,1649961294
515,mananara,-16.1667,49.7667,75.29,92,33,5.3,MG,1649961294
516,astana,51.1801,71.446,40.95,65,0,8.95,KZ,1649961295
517,evinayong,1.4368,10.5512,69.03,98,96,0.43,GQ,1649961295
518,adrar,20.5022,-10.0711,83.34,14,0,10.22,MR,1649961295
519,huacho,-11.1067,-77.605,73.13,69,62,12.35,PE,1649961296
520,taganak,6.0833,118.3,78.94,76,93,12.03,PH,1649961296
521,winnemucca,40.973,-117.7357,51.85,37,100,14.97,US,1649961082
522,takoradi,4.8845,-1.7554,81.48,83,100,11.61,GH,1649961297
523,tukrah,32.5341,20.5791,66.9,48,100,17.63,LY,1649961297
524,port lincoln,-34.7333,135.8667,64.69,92,7,7.49,AU,1649961297
525,nouadhibou,20.931,-17.0347,67.98,68,0,21.85,MR,1649961298
526,prince rupert,54.3161,-130.3201,42.89,39,0,6.91,CA,1649961298
527,pitimbu,-7.4706,-34.8086,86.59,68,70,10.16,BR,1649961299
528,manta,-0.95,-80.7333,82.18,74,40,9.22,EC,1649961299
529,topolobampo,25.6,-109.05,82.53,33,100,14.67,MX,1649961299
530,yarmouth,41.7057,-70.2286,61.14,81,100,10.36,US,1649961278
531,batemans bay,-35.7167,150.1833,60.1,92,18,4.25,AU,1649961012
532,payo,-3.7508,103.6372,72.07,98,100,1.88,ID,1649961300
533,urumqi,43.801,87.6005,45.55,14,0,13.42,CN,1649961301
534,chulym,55.0997,80.9572,36.21,80,6,5.79,RU,1649961301
535,bongaree,-27.0797,153.1586,65.52,76,100,16.62,AU,1649961301
536,sorgun,39.8101,35.186,41.83,66,26,1.95,TR,1649961302
537,president roxas,7.1544,125.0558,73.27,89,100,1.23,PH,1649961302
538,kodino,63.7198,39.6447,28.17,97,84,1.12,RU,1649961303
539,rafaela,-31.2503,-61.4867,75.99,18,0,3.0,AR,1649961303
540,zamora,-4.0692,-78.9567,87.04,73,66,4.74,EC,1649961016
541,yasnyy,51.0333,59.8742,59.5,56,100,16.02,RU,1649961304
542,susanville,40.4163,-120.653,43.92,68,94,5.99,US,1649961238
543,irbeyskoye,55.6428,95.4522,31.35,79,11,3.6,RU,1649961305
544,berlevag,70.8578,29.0864,30.0,88,99,16.6,NO,1649961305
545,balkanabat,39.5108,54.3671,59.34,50,100,8.57,TM,1649961306
546,wanning,18.8003,110.3967,76.05,92,34,5.46,CN,1649961306
547,buta,2.7858,24.73,71.02,94,99,2.51,CD,1649961307
548,avera,33.194,-82.5271,77.56,62,74,13.2,US,1649961307
549,amalapuram,16.5833,82.0167,78.8,93,10,2.28,IN,1649961308
550,hefei,31.8639,117.2808,55.42,82,0,4.47,CN,1649961308
551,fez,34.0372,-4.9998,66.45,59,40,5.75,MA,1649961309
552,atikokan,48.7555,-91.6216,30.7,89,100,5.66,CA,1649961309
553,kupang,-10.1667,123.5833,78.78,89,98,6.11,ID,1649961309
554,tiznit,29.5833,-9.5,69.31,46,0,3.36,MA,1649961310
555,ambanja,-13.6833,48.45,77.0,87,18,2.93,MG,1649961311
556,el tigre,8.8875,-64.2454,91.08,38,100,16.6,VE,1649961311
557,poroszlo,47.65,20.6667,52.25,58,13,1.95,HU,1649961311
558,petawawa,45.9001,-77.3328,53.19,87,75,13.8,CA,1649961020
559,preobrazheniye,42.9019,133.9064,37.69,69,100,3.11,RU,1649961312
560,ravar,31.2656,56.8055,76.68,14,100,4.9,IR,1649961313
561,simoes,-7.5989,-40.8178,90.34,38,56,6.82,BR,1649961313
562,basco,20.4487,121.9702,77.27,79,90,23.53,PH,1649961313
563,polyarnyy,69.1989,33.4478,25.48,87,88,4.59,RU,1649961314
564,hudiksvall,61.729,17.1036,34.3,93,15,6.2,SE,1649961314
565,antofagasta,-23.65,-70.4,66.04,68,41,7.0,CL,1649961315
566,kushima,31.4583,131.2333,65.14,95,100,5.44,JP,1649961315
567,kizukuri,40.8061,140.3861,44.11,85,100,8.9,JP,1649961316
568,arona,28.0996,-16.681,66.83,61,20,19.57,ES,1649961316
569,grindavik,63.8424,-22.4338,49.95,100,100,31.07,IS,1649961317
570,katobu,-4.9408,122.5276,75.16,91,74,1.66,ID,1649961317
571,amuntai,-2.4177,115.2494,73.78,94,100,1.03,ID,1649961318
